Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,4.29,4.40,4.10,4.36,239500,4.36
2016-06-09,4.25,4.33,4.18,4.24,56700,4.24
2016-06-08,4.35,4.37,4.25,4.25,120800,4.25
2016-06-07,4.17,4.34,4.17,4.28,97500,4.28
2016-06-06,4.05,4.20,4.01,4.19,65200,4.19
2016-06-03,4.10,4.17,4.00,4.05,59300,4.05
2016-06-02,3.98,4.19,3.93,4.15,111900,4.15
2016-06-01,3.99,4.06,3.94,3.99,26400,3.99
2016-05-31,3.96,4.01,3.71,3.71,65900,3.71
2016-05-27,3.98,4.10,3.96,4.00,39300,4.00
2016-05-26,3.98,4.15,3.92,3.95,70200,3.95
2016-05-25,3.90,3.98,3.89,3.98,21700,3.98
2016-05-24,3.94,4.02,3.85,3.96,34100,3.96
2016-05-23,4.05,4.10,3.91,3.98,48000,3.98
2016-05-20,3.92,4.12,3.90,4.05,21600,4.05
2016-05-19,3.95,4.06,3.90,3.94,39600,3.94
2016-05-18,4.02,4.06,3.90,3.99,64100,3.99
2016-05-17,3.99,4.21,3.85,4.10,99500,4.10
2016-05-16,3.96,4.04,3.95,3.95,41900,3.95
2016-05-13,3.93,4.08,3.93,4.00,57300,4.00
2016-05-12,3.97,4.20,3.84,3.97,61000,3.97
2016-05-11,4.14,4.29,3.90,4.06,89800,4.06
2016-05-10,4.35,4.35,4.13,4.29,25000,4.29
2016-05-09,4.03,4.40,3.55,4.12,192800,4.12
