Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,47.66,47.66,45.700001,46.220001,54600,46.220001
2016-06-09,48.220001,48.540001,47.549999,48.419998,52300,48.419998
2016-06-08,48.77,49.259998,48.419998,48.50,40800,48.50
2016-06-07,49.650002,49.849998,48.709999,48.830002,46200,48.830002
2016-06-06,49.77,50.16,48.709999,49.779999,114500,49.779999
2016-06-03,49.209999,49.25,47.689999,49.169998,70600,49.169998
2016-06-02,48.290001,49.259998,47.369999,49.209999,87600,49.209999
2016-06-01,48.689999,48.689999,47.240002,48.43,86800,48.43
2016-05-31,49.18,49.18,47.630001,48.200001,85400,48.200001
2016-05-27,46.400002,48.900002,46.400002,48.77,196600,48.77
2016-05-26,45.59,46.18,45.240002,46.049999,46800,46.049999
2016-05-25,45.389999,45.669998,44.810001,45.369999,59300,45.369999
2016-05-24,43.889999,44.98,43.75,44.880001,87800,44.880001
2016-05-23,43.00,44.00,42.419998,43.34,62900,43.34
2016-05-20,42.009998,42.490002,41.880001,42.18,22000,42.18
2016-05-19,42.169998,42.169998,41.150002,41.650002,29600,41.650002
2016-05-18,42.529999,42.529999,41.509998,42.099998,32900,42.099998
2016-05-17,42.27,43.52,42.27,42.560001,27800,42.560001
2016-05-16,42.790001,42.790001,41.959999,42.450001,48500,42.450001
2016-05-13,42.779999,43.09,42.360001,42.68,18400,42.68
2016-05-12,43.939999,44.290001,42.650002,43.009998,21100,43.009998
2016-05-11,43.75,43.810001,43.360001,43.759998,14200,43.759998
2016-05-10,43.349998,44.150002,43.27,44.119999,28300,44.119999
2016-05-09,44.540001,44.639999,43.32,43.349998,47300,43.349998
2016-05-06,44.459999,44.57,44.029999,44.540001,27000,44.540001
2016-05-05,44.509998,45.060001,44.099998,44.349998,40000,44.349998
2016-05-04,44.43,45.369999,43.959999,44.23,29300,44.23
2016-05-03,44.700001,44.84,44.259998,44.540001,33200,44.540001
2016-05-02,43.799999,45.240002,43.380001,45.09,53000,45.09
2016-04-29,45.52,45.52,43.59,43.93,47500,43.93
2016-04-28,45.830002,46.16,43.119999,45.470001,63500,45.470001
2016-04-27,46.18,46.939999,45.490002,46.560001,43700,46.560001
2016-04-26,46.349998,46.560001,45.669998,46.150002,33800,46.150002
2016-04-25,46.580002,46.580002,45.560001,46.040001,37500,46.040001
2016-04-22,45.25,47.450001,45.25,46.50,152500,46.50
2016-04-21,40.50,45.259998,40.299999,45.07,231000,45.07
2016-04-20,38.75,40.52,37.900002,40.299999,226200,40.299999
2016-04-19,42.310001,43.040001,38.599998,39.060001,315500,39.060001
2016-04-18,41.09,42.41,41.09,42.060001,38900,42.060001
2016-04-15,41.82,42.119999,41.25,41.669998,64800,41.669998
2016-04-14,43.369999,43.369999,41.759998,41.959999,34000,41.959999
2016-04-13,42.130001,43.77,42.130001,43.279999,45900,43.279999
2016-04-12,41.490002,42.709999,41.490002,41.970001,56400,41.970001
2016-04-11,41.580002,42.220001,41.23,41.439999,35600,41.439999
2016-04-08,42.150002,42.150002,40.73,41.389999,23600,41.389999
2016-04-07,42.630001,43.25,41.330002,41.639999,43400,41.639999
2016-04-06,42.68,43.009998,41.869999,42.950001,54800,42.950001
2016-04-05,42.610001,43.00,41.41,42.27,71100,42.27
2016-04-04,44.759998,44.759998,43.00,43.00,141000,43.00
