Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,6.85,7.03,6.81,6.97,3260600,6.97
2016-06-09,6.88,6.97,6.82,6.92,1069200,6.92
2016-06-08,6.91,6.94,6.88,6.89,824600,6.89
2016-06-07,6.92,6.99,6.90,6.90,1374300,6.90
2016-06-06,6.91,7.00,6.89,6.90,2716100,6.90
2016-06-03,6.81,6.93,6.77,6.88,1556800,6.88
2016-06-02,6.84,6.91,6.73,6.86,1152000,6.86
2016-06-01,6.84,6.89,6.78,6.83,1390100,6.83
2016-05-31,6.84,6.87,6.79,6.83,1220800,6.83
2016-05-27,6.75,6.85,6.74,6.79,1583500,6.79
2016-05-26,6.69,6.86,6.69,6.78,1520000,6.78
2016-05-25,6.70,6.74,6.62,6.69,1917300,6.69
2016-05-24,6.54,6.73,6.53,6.72,2164800,6.72
2016-05-23,6.16,6.56,6.16,6.54,3217700,6.54
2016-05-20,6.18,6.28,6.14,6.19,5410700,6.19
2016-05-19,6.21,6.38,6.10,6.16,2637200,6.16
2016-05-18,6.19,6.33,6.19,6.28,1224600,6.28
2016-05-17,6.24,6.30,6.18,6.23,1943400,6.23
2016-05-16,6.23,6.30,6.19,6.26,1802300,6.26
2016-05-13,6.30,6.45,6.19,6.23,6416900,6.23
2016-05-12,6.35,6.37,6.23,6.30,1751300,6.30
2016-05-11,6.31,6.34,6.21,6.30,1558300,6.30
2016-05-10,6.28,6.42,6.19,6.31,1601700,6.31
2016-05-09,6.32,6.34,6.23,6.26,2199500,6.26
2016-05-06,6.23,6.36,6.16,6.35,2545100,6.35
2016-05-05,6.34,6.41,6.22,6.28,1879000,6.28
2016-05-04,6.01,6.51,5.93,6.33,5286800,6.33
2016-05-03,6.53,6.55,6.38,6.43,1775100,6.43
2016-05-02,6.56,6.60,6.43,6.56,2128200,6.56
2016-04-29,6.63,6.69,6.43,6.51,2962800,6.51
2016-04-28,6.71,6.78,6.64,6.67,1630900,6.67
2016-04-27,6.61,6.83,6.51,6.76,2673100,6.76
2016-04-26,6.63,6.65,6.58,6.62,1951900,6.62
2016-04-25,6.61,6.67,6.56,6.63,1453800,6.63
2016-04-22,6.50,6.65,6.50,6.64,3369300,6.64
2016-04-21,6.53,6.60,6.44,6.50,2251000,6.50
2016-04-20,6.56,6.64,6.51,6.54,2160400,6.54
2016-04-19,6.64,6.71,6.53,6.54,4989100,6.54
2016-04-18,6.60,6.67,6.55,6.61,1509100,6.61
