Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,17.50,17.799999,17.41,17.76,232400,17.76
2016-06-09,17.860001,17.870001,17.549999,17.66,187800,17.66
2016-06-08,18.15,18.33,17.75,17.91,501800,17.91
2016-06-07,18.190001,18.415001,17.92,18.190001,220400,18.190001
2016-06-06,18.190001,18.34,18.07,18.16,164300,18.16
2016-06-03,18.09,18.200001,17.799999,18.15,254000,18.15
2016-06-02,17.969999,18.219999,17.75,18.139999,249200,18.139999
2016-06-01,17.709999,18.049999,17.68,17.99,287700,17.99
2016-05-31,17.60,17.82,17.385,17.809999,400700,17.809999
2016-05-27,17.25,17.559999,17.10,17.549999,268400,17.549999
2016-05-26,17.49,17.68,17.25,17.549999,302000,17.309999
2016-05-25,17.66,17.91,17.43,17.459999,368900,17.22123
2016-05-24,17.49,17.85,17.49,17.709999,416200,17.467811
2016-05-23,17.40,17.49,17.219999,17.309999,311500,17.073282
2016-05-20,17.200001,17.51,17.200001,17.40,336500,17.162051
2016-05-19,17.32,17.440001,17.00,17.190001,464700,16.954924
2016-05-18,17.43,17.639999,17.33,17.43,425300,17.191641
2016-05-17,17.85,17.889999,17.34,17.379999,307800,17.142324
2016-05-16,17.860001,18.23,17.84,17.950001,388100,17.704531
2016-05-13,17.91,18.17,17.700001,17.780001,313900,17.536855
2016-05-12,18.290001,18.290001,17.629999,17.90,788000,17.655213
2016-05-11,18.83,18.950001,17.889999,18.290001,304700,18.039881
2016-05-10,19.059999,19.10,18.700001,18.799999,177900,18.542905
2016-05-09,18.83,19.15,18.700001,18.959999,147700,18.700717
2016-05-06,18.77,18.969999,18.559999,18.90,157400,18.641538
2016-05-05,19.35,19.790001,18.629999,18.74,398700,18.483726
2016-05-04,20.00,20.129999,19.129999,19.360001,563700,19.095248
2016-05-03,21.01,21.125,20.26,20.370001,340000,20.091437
2016-05-02,21.00,21.379999,20.82,21.24,153500,20.949538
2016-04-29,20.92,21.195,20.709999,20.85,250300,20.564872
2016-04-28,21.34,21.485001,20.91,20.93,139400,20.643778
2016-04-27,21.440001,21.575001,21.16,21.42,101100,21.127077
2016-04-26,21.48,21.690001,21.24,21.440001,119200,21.146804
2016-04-25,21.610001,21.85,21.25,21.440001,96600,21.146804
2016-04-22,21.610001,21.799999,21.530001,21.66,109300,21.363795
2016-04-21,21.23,21.59,21.16,21.559999,143500,21.265162
2016-04-20,21.42,21.450001,21.059999,21.360001,103900,21.067898
