Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,28.040001,29.40,28.040001,28.809999,19000,28.809999
2016-06-09,28.219999,28.559999,28.219999,28.42,32200,28.42
2016-06-08,27.83,28.50,27.83,28.48,23800,28.48
2016-06-07,27.07,28.07,26.940001,27.90,26100,27.90
2016-06-06,27.540001,27.790001,26.85,26.950001,34700,26.950001
2016-06-03,27.129999,27.809999,26.75,27.60,38100,27.60
2016-06-02,27.299999,27.299999,26.469999,26.77,34000,26.77
2016-06-01,27.049999,27.690001,26.77,27.370001,26100,27.370001
2016-05-31,27.15,27.25,26.76,27.10,33400,27.10
2016-05-27,27.00,27.139999,26.860001,27.139999,12200,27.139999
2016-05-26,26.91,27.110001,26.450001,26.91,12500,26.91
2016-05-25,27.540001,27.870001,26.690001,26.91,25400,26.91
2016-05-24,26.33,27.950001,26.33,27.629999,37600,27.629999
2016-05-23,26.129999,26.639999,25.709999,26.33,37600,26.33
2016-05-20,25.42,26.040001,25.10,26.01,20700,26.01
2016-05-19,24.780001,25.469999,24.780001,25.23,50000,25.23
2016-05-18,24.639999,25.129999,24.42,24.889999,20600,24.889999
2016-05-17,25.389999,25.51,24.459999,24.59,20900,24.59
2016-05-16,25.530001,25.82,25.26,25.50,24300,25.50
2016-05-13,25.549999,25.85,25.17,25.559999,14300,25.559999
2016-05-12,25.57,25.780001,25.370001,25.549999,18800,25.549999
2016-05-11,25.860001,25.90,25.33,25.360001,14900,25.360001
2016-05-10,25.57,25.90,25.200001,25.879999,17000,25.879999
2016-05-09,24.540001,25.700001,24.50,25.450001,45400,25.450001
2016-05-06,24.639999,24.889999,24.35,24.68,13800,24.68
2016-05-05,25.200001,25.35,24.389999,24.60,43100,24.60
2016-05-04,25.40,25.67,25.139999,25.209999,36800,25.209999
2016-05-03,24.799999,25.950001,24.35,25.52,92400,25.52
2016-05-02,24.41,25.049999,24.41,24.809999,48100,24.809999
2016-04-29,24.66,24.91,24.219999,24.40,32700,24.40
2016-04-28,24.780001,25.139999,24.709999,24.77,33400,24.77
2016-04-27,25.040001,25.190001,24.68,24.75,11400,24.75
2016-04-26,24.870001,25.25,24.82,25.059999,24900,25.059999
2016-04-25,24.110001,24.77,24.110001,24.73,24600,24.73
2016-04-22,24.219999,24.35,24.049999,24.200001,18600,24.200001
2016-04-21,25.360001,25.459999,24.01,24.280001,51900,24.280001
2016-04-20,24.969999,25.549999,24.889999,25.370001,25300,25.370001
2016-04-19,25.15,25.26,24.73,25.01,15100,25.01
