Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,79.620003,80.529999,77.410004,77.699997,93300,77.699997
2016-06-09,80.860001,82.480003,79.970001,80.529999,205200,80.529999
2016-06-08,81.279999,81.849998,81.050003,81.550003,92200,81.550003
2016-06-07,81.790001,81.839996,80.82,81.279999,114100,81.279999
2016-06-06,80.010002,82.480003,80.010002,81.400002,134100,81.400002
2016-06-03,81.160004,81.529999,79.720001,79.919998,129700,79.919998
2016-06-02,81.160004,81.709999,80.510002,81.480003,72600,81.480003
2016-06-01,81.309998,81.940002,80.260002,81.260002,93700,81.260002
2016-05-31,81.239998,82.559998,80.07,81.410004,95900,81.410004
2016-05-27,80.900002,81.00,79.800003,80.519997,50800,80.519997
2016-05-26,80.980003,81.830002,79.470001,80.949997,74200,80.949997
2016-05-25,79.989998,81.00,79.489998,80.809998,76300,80.809998
2016-05-24,79.07,80.260002,78.349998,79.519997,77600,79.519997
2016-05-23,79.400002,80.459999,78.029999,78.980003,91100,78.980003
2016-05-20,78.389999,80.260002,78.389999,79.220001,63400,79.220001
2016-05-19,79.199997,80.129997,77.599998,78.120003,120000,78.120003
2016-05-18,77.860001,80.50,77.660004,79.57,145000,79.57
2016-05-17,78.639999,80.160004,77.480003,78.150002,166600,78.150002
2016-05-16,79.129997,80.510002,78.50,79.239998,169600,79.239998
2016-05-13,80.339996,81.349998,78.129997,78.779999,194100,78.779999
2016-05-12,80.389999,81.970001,79.639999,80.410004,148900,80.410004
2016-05-11,81.150002,83.57,79.260002,80.300003,269100,80.300003
2016-05-10,79.230003,81.550003,78.449997,81.50,186400,81.50
2016-05-09,75.300003,78.589996,75.300003,78.480003,199000,78.480003
2016-05-06,70.25,74.230003,70.099998,74.120003,113800,74.120003
2016-05-05,71.089996,71.209999,69.059998,70.849998,127800,70.849998
2016-05-04,74.470001,75.760002,70.669998,70.93,145000,70.93
2016-05-03,78.080002,78.080002,73.220001,75.199997,169600,75.199997
2016-05-02,78.059998,79.370003,76.25,78.709999,155600,78.709999
2016-04-29,70.120003,79.379997,70.110001,78.220001,425100,78.220001
2016-04-28,70.00,70.529999,67.760002,68.169998,171600,68.169998
2016-04-27,69.980003,71.440002,69.540001,70.720001,127800,70.720001
2016-04-26,72.339996,72.639999,70.199997,70.50,281400,70.049998
2016-04-25,72.139999,72.620003,70.339996,71.879997,59300,71.421187
2016-04-22,73.199997,73.75,72.169998,73.040001,88300,72.573786
2016-04-21,73.790001,73.790001,72.360001,72.980003,61100,72.514172
2016-04-20,72.620003,74.75,72.620003,73.949997,75900,73.477974
