Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,48.959999,49.099998,48.529999,48.619999,146000,48.619999
2016-06-09,49.740002,49.740002,48.900002,49.509998,77700,49.509998
2016-06-08,49.490002,50.099998,49.490002,49.98,101900,49.98
2016-06-07,49.720001,49.799999,49.34,49.549999,93900,49.549999
2016-06-06,48.790001,49.990002,48.790001,49.700001,172300,49.700001
2016-06-03,48.630001,48.880001,47.91,48.759998,140000,48.759998
2016-06-02,48.84,49.209999,48.389999,49.18,97600,49.18
2016-06-01,48.470001,49.09,48.009998,49.040001,134100,49.040001
2016-05-31,48.810001,48.810001,48.290001,48.650002,103000,48.650002
2016-05-27,47.900002,48.580002,47.639999,48.540001,85500,48.540001
2016-05-26,48.52,48.52,47.709999,47.91,71200,47.91
2016-05-25,48.27,48.759998,47.619999,48.389999,97700,48.389999
2016-05-24,47.34,48.240002,47.34,48.099998,109000,48.099998
2016-05-23,46.889999,47.470001,46.209999,47.029999,90900,47.029999
2016-05-20,46.950001,47.52,46.400002,46.919998,134400,46.919998
2016-05-19,47.330002,47.939999,46.119999,46.610001,191900,46.610001
2016-05-18,45.66,47.619999,45.66,47.580002,115400,47.580002
2016-05-17,46.599998,46.779999,45.689999,45.880001,195300,45.880001
2016-05-16,45.919998,46.900002,45.619999,46.619999,152400,46.619999
2016-05-13,46.880001,47.299999,45.650002,45.860001,171200,45.860001
2016-05-12,46.709999,47.599998,46.349998,46.91,169900,46.91
2016-05-11,46.77,47.450001,46.57,46.740002,103300,46.740002
2016-05-10,46.619999,47.32,46.290001,47.110001,89100,47.110001
2016-05-09,46.439999,46.849998,45.68,46.279999,138000,46.279999
2016-05-06,46.02,46.66,45.700001,46.619999,135400,46.619999
2016-05-05,46.380001,46.700001,45.669998,46.25,158800,46.25
2016-05-04,46.509998,47.380001,46.009998,46.549999,184700,46.159999
2016-05-03,47.869999,48.099998,46.700001,46.919998,189100,46.526898
2016-05-02,48.700001,48.849998,48.27,48.619999,190900,48.212656
2016-04-29,49.09,49.93,48.48,48.720001,189400,48.311821
2016-04-28,50.00,50.189999,49.00,49.16,183800,48.748133
2016-04-27,50.34,50.91,49.790001,50.200001,176500,49.779421
2016-04-26,50.07,50.599998,49.939999,50.529999,345400,50.106654
2016-04-25,51.049999,51.049999,49.619999,50.25,239800,49.829001
2016-04-22,50.82,51.900002,50.82,51.23,220800,50.80079
2016-04-21,51.709999,52.18,50.59,51.00,205600,50.572717
2016-04-20,51.27,51.98,50.900002,51.529999,131700,51.098276
2016-04-19,51.189999,51.43,50.330002,51.099998,110500,50.671878
2016-04-18,50.16,51.16,50.16,50.959999,69700,50.533052
2016-04-15,50.560001,50.779999,50.130001,50.48,111400,50.057074
2016-04-14,49.91,50.98,49.91,50.560001,127800,50.136405
