Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,114.589996,115.050003,114.059998,114.870003,76500,114.870003
2016-06-09,113.699997,115.230003,112.25,115.080002,75800,115.080002
2016-06-08,112.00,113.959999,111.910004,113.599998,77500,113.599998
2016-06-07,111.690002,112.120003,109.580002,111.910004,82400,111.910004
2016-06-06,110.949997,113.599998,110.690002,111.330002,283800,111.330002
2016-06-03,111.489998,111.949997,110.730003,111.220001,72000,111.220001
2016-06-02,110.870003,111.57,110.389999,111.50,71600,111.50
2016-06-01,111.099998,111.970001,110.480003,111.510002,96100,111.510002
2016-05-31,111.989998,111.989998,110.75,111.370003,50800,111.370003
2016-05-27,111.459999,111.949997,111.029999,111.559998,49500,111.559998
2016-05-26,110.290001,111.889999,110.019997,111.739998,100600,111.739998
2016-05-25,110.980003,111.32,110.080002,110.440002,86700,110.440002
2016-05-24,108.360001,111.00,108.360001,110.620003,98700,110.620003
2016-05-23,108.199997,108.470001,107.470001,108.059998,80000,108.059998
2016-05-20,107.160004,108.599998,106.769997,108.220001,112800,108.220001
2016-05-19,105.00,107.150002,105.00,107.07,64100,107.07
2016-05-18,104.989998,106.849998,104.93,105.720001,70000,105.720001
2016-05-17,109.360001,109.599998,104.839996,105.290001,174900,105.290001
2016-05-16,107.830002,109.730003,106.68,109.07,97400,109.07
2016-05-13,108.760002,109.169998,107.470001,107.889999,63100,107.889999
2016-05-12,107.839996,109.279999,107.800003,108.769997,127500,108.769997
2016-05-11,107.269997,107.769997,106.50,107.419998,99500,107.419998
2016-05-10,107.580002,107.809998,106.589996,107.449997,44900,107.449997
2016-05-09,106.330002,107.610001,105.93,107.230003,59400,107.230003
2016-05-06,104.459999,106.279999,103.68,106.260002,65500,106.260002
2016-05-05,105.199997,105.57,104.230003,104.730003,81700,104.730003
2016-05-04,104.019997,105.419998,103.800003,105.110001,82000,105.110001
2016-05-03,104.209999,105.50,103.779999,104.330002,121800,104.330002
2016-05-02,102.830002,105.150002,102.830002,104.889999,146700,104.889999
2016-04-29,102.580002,102.989998,101.529999,102.300003,64800,102.300003
2016-04-28,102.160004,103.260002,102.160004,102.93,67400,102.93
2016-04-27,102.480003,103.849998,101.190002,102.120003,82700,102.120003
2016-04-26,101.510002,103.480003,101.089996,102.790001,102200,102.790001
2016-04-25,100.739998,102.449997,100.559998,101.610001,87400,101.610001
2016-04-22,100.50,101.32,99.760002,101.040001,121300,101.040001
2016-04-21,101.139999,101.559998,100.120003,100.82,104200,100.82
2016-04-20,101.779999,102.099998,101.129997,101.510002,74800,101.510002
2016-04-19,101.870003,102.279999,101.269997,101.959999,75200,101.959999
2016-04-18,100.660004,101.870003,100.540001,101.510002,66900,101.510002
2016-04-15,100.75,101.970001,100.50,101.269997,75800,101.269997
2016-04-14,101.00,101.610001,100.279999,100.959999,75300,100.959999
2016-04-13,102.00,102.209999,100.120003,101.370003,102900,101.370003
2016-04-12,101.510002,101.940002,100.230003,101.550003,230000,101.130002
2016-04-11,102.739998,102.800003,100.580002,101.080002,218300,100.661944
2016-04-08,107.400002,107.400002,99.32,102.150002,218400,101.727519
2016-04-07,107.800003,108.459999,106.050003,107.040001,113100,106.597293
2016-04-06,107.489998,108.309998,106.919998,107.709999,61700,107.264521
2016-04-05,108.339996,109.129997,107.32,107.690002,79400,107.244607
2016-04-04,111.00,111.00,108.279999,108.900002,83400,108.449601
2016-04-01,107.150002,110.849998,107.150002,110.690002,64400,110.232199
2016-03-31,109.389999,109.910004,107.650002,108.010002,127700,107.563283
2016-03-30,110.00,110.00,108.449997,109.660004,78500,109.20646
2016-03-29,107.400002,109.720001,106.209999,109.57,62600,109.116828
2016-03-28,107.589996,108.489998,106.900002,107.349998,56500,106.906009
2016-03-24,106.860001,107.989998,106.860001,107.910004,54000,107.463698
2016-03-23,106.830002,108.480003,106.620003,107.300003,83000,106.85622
2016-03-22,106.389999,107.510002,105.389999,106.610001,60600,106.169072
2016-03-21,107.440002,107.440002,106.410004,106.809998,61700,106.368241
2016-03-18,107.120003,107.790001,105.769997,107.720001,132600,107.274481
2016-03-17,104.629997,107.00,104.209999,106.580002,97000,106.139197
2016-03-16,103.110001,105.330002,103.059998,104.629997,84700,104.197257
2016-03-15,102.75,105.330002,102.419998,103.699997,63700,103.271103
2016-03-14,104.82,104.82,103.00,103.290001,71900,102.862803
2016-03-11,103.589996,104.870003,103.25,104.849998,76300,104.416349
2016-03-10,104.879997,105.839996,102.550003,103.239998,68400,102.813007
2016-03-09,104.739998,105.720001,103.00,104.129997,81400,103.699325
2016-03-08,103.419998,105.959999,103.349998,104.559998,109300,104.127547
2016-03-07,104.900002,105.330002,102.760002,104.290001,132700,103.858667
2016-03-04,105.839996,105.839996,104.419998,105.43,121400,104.993952
2016-03-03,107.360001,107.389999,104.959999,106.169998,112700,105.730889
2016-03-02,106.940002,107.239998,105.730003,107.239998,70000,106.796463
2016-03-01,108.209999,108.900002,105.800003,107.050003,74200,106.607254
2016-02-29,107.82,109.00,107.559998,108.00,94600,107.553322
2016-02-26,108.879997,109.370003,107.269997,107.669998,119200,107.224685
2016-02-25,107.860001,108.769997,107.309998,108.650002,53700,108.200635
2016-02-24,106.529999,107.93,105.470001,107.739998,69000,107.294395
2016-02-23,106.949997,108.50,106.050003,106.900002,78900,106.457873
2016-02-22,108.379997,109.25,106.440002,106.82,80400,106.378202
2016-02-19,105.940002,108.389999,105.709999,107.790001,75600,107.344192
2016-02-18,105.199997,106.230003,104.139999,105.800003,69400,105.362424
2016-02-17,106.580002,106.989998,104.860001,105.400002,61800,104.964077
2016-02-16,105.150002,105.919998,103.900002,105.730003,85500,105.292714
2016-02-12,103.900002,105.110001,102.839996,103.949997,70200,103.520069
2016-02-11,103.00,103.790001,101.019997,103.07,65300,102.643712
2016-02-10,104.809998,105.870003,103.00,103.68,65500,103.251189
2016-02-09,101.870003,104.830002,101.870003,104.019997,81700,103.58978
2016-02-08,100.50,103.220001,100.330002,102.870003,106400,102.444542
2016-02-05,103.349998,104.050003,100.839996,100.940002,77400,100.522524
2016-02-04,102.25,104.989998,101.57,103.349998,94200,102.922553
2016-02-03,103.760002,103.970001,101.230003,102.790001,119100,102.364871
2016-02-02,103.660004,104.989998,102.389999,102.900002,64000,102.474417
2016-02-01,103.169998,104.970001,102.43,104.199997,64800,103.769035
2016-01-29,99.809998,103.650002,99.800003,103.300003,114000,102.872764
2016-01-28,98.440002,99.959999,98.440002,99.489998,59300,99.078517
2016-01-27,99.010002,99.75,97.50,97.879997,59200,97.475175
2016-01-26,97.830002,99.760002,97.830002,99.019997,51200,98.610459
2016-01-25,98.449997,98.93,97.279999,97.629997,41700,97.226209
2016-01-22,98.32,99.00,97.949997,98.900002,77000,98.49096
2016-01-21,98.040001,98.889999,96.860001,97.57,58300,97.166459
2016-01-20,97.93,98.629997,96.440002,98.00,98500,97.594681
2016-01-19,98.849998,99.459999,97.739998,98.769997,97400,98.361493
2016-01-15,96.510002,97.769997,95.610001,97.440002,75400,97.037
2016-01-14,98.220001,99.800003,97.699997,98.669998,57500,98.261908
2016-01-13,100.459999,102.00,97.110001,97.889999,78600,97.485135
2016-01-12,100.00,100.550003,98.589996,100.389999,99900,99.556534
2016-01-11,98.660004,99.660004,97.709999,99.129997,82400,98.306993
2016-01-08,98.989998,100.190002,95.459999,97.589996,122500,96.779778
2016-01-07,95.300003,95.980003,94.00,94.580002,105700,93.794773
2016-01-06,96.830002,97.519997,96.379997,96.550003,102600,95.748419
2016-01-05,95.870003,98.279999,95.870003,97.720001,66700,96.908703
2016-01-04,97.330002,98.93,95.43,95.779999,76000,94.984807
2015-12-31,101.120003,101.120003,98.57,98.650002,107500,97.830982
2015-12-30,101.330002,101.82,100.040001,101.110001,51600,100.270558
2015-12-29,100.150002,101.650002,100.150002,101.190002,92200,100.349896
2015-12-28,99.279999,99.989998,98.809998,99.690002,55100,98.862349
2015-12-24,99.620003,100.459999,99.129997,99.699997,69300,98.872261
2015-12-23,99.440002,99.830002,98.669998,99.099998,57800,98.277243
2015-12-22,100.309998,100.50,98.330002,99.089996,81100,98.267324
2015-12-21,100.029999,101.220001,98.760002,99.970001,52400,99.140023
2015-12-18,102.050003,102.559998,98.599998,99.510002,262900,98.683843
2015-12-17,102.839996,104.989998,102.230003,102.709999,55600,101.857273
2015-12-16,100.419998,102.809998,100.300003,102.589996,63900,101.738266
2015-12-15,99.040001,100.25,98.93,100.25,44400,99.417697
2015-12-14,97.580002,98.50,97.230003,98.32,53600,97.50372
2015-12-11,98.169998,100.169998,96.949997,97.50,59400,96.690529
2015-12-10,100.07,100.370003,98.870003,99.32,49500,98.495418
2015-12-09,100.25,102.809998,99.82,100.190002,60300,99.358198
2015-12-08,99.349998,100.809998,99.169998,100.43,49700,99.596203
2015-12-07,99.550003,100.50,99.00,100.269997,47800,99.437528
2015-12-04,98.32,99.870003,98.32,99.519997,46000,98.693755
2015-12-03,99.419998,99.419998,97.300003,98.300003,44200,97.48389
2015-12-02,99.239998,100.50,98.940002,99.339996,42700,98.515249
2015-12-01,98.959999,99.900002,98.75,99.50,48900,98.673924
2015-11-30,101.00,101.00,98.57,98.769997,79100,97.949981
2015-11-27,100.540001,101.00,100.419998,100.699997,17200,99.863958
2015-11-25,100.290001,101.00,100.00,100.660004,28300,99.824297
2015-11-24,99.220001,100.190002,99.050003,100.029999,37200,99.199523
2015-11-23,98.650002,100.00,98.089996,99.800003,38600,98.971436
2015-11-20,98.75,99.57,97.650002,98.480003,65900,97.662396
2015-11-19,98.349998,98.800003,97.400002,98.279999,45900,97.464052
2015-11-18,96.699997,98.449997,95.400002,98.349998,55300,97.53347
2015-11-17,97.279999,97.449997,95.989998,96.790001,57500,95.986424
2015-11-16,95.279999,96.459999,94.599998,96.400002,69700,95.599663
2015-11-13,94.519997,96.139999,94.239998,95.209999,65500,94.41954
2015-11-12,96.199997,96.690002,94.879997,95.029999,59700,94.241034
2015-11-11,96.919998,97.660004,96.669998,96.760002,50300,95.956674
2015-11-10,95.260002,96.989998,95.260002,96.459999,52700,95.659162
2015-11-09,96.260002,96.260002,95.209999,95.639999,49400,94.84597
2015-11-06,97.110001,97.110001,95.25,96.389999,42900,95.589743
2015-11-05,96.900002,97.660004,96.739998,96.949997,50400,96.145092
2015-11-04,97.00,97.489998,96.529999,96.910004,62600,96.105431
2015-11-03,96.580002,97.660004,96.18,96.889999,102200,96.085592
2015-11-02,95.959999,97.449997,95.959999,96.839996,89200,96.036004
2015-10-30,96.75,97.50,95.50,95.580002,62800,94.786471
2015-10-29,96.699997,97.559998,96.110001,97.019997,75600,96.21451
2015-10-28,94.209999,96.75,94.029999,96.68,85000,95.877337
2015-10-27,94.860001,95.379997,93.940002,94.32,63800,93.536929
2015-10-26,95.190002,95.75,94.629997,95.059998,47400,94.270784
2015-10-23,95.269997,95.57,94.199997,95.099998,57600,94.310452
2015-10-22,93.50,95.010002,93.419998,94.989998,52600,94.201365
2015-10-21,93.040001,94.260002,92.82,92.970001,61800,92.198139
2015-10-20,92.660004,93.510002,92.449997,92.980003,66800,92.208058
2015-10-19,92.650002,93.269997,90.309998,92.900002,143600,92.128721
2015-10-16,94.120003,94.989998,91.720001,94.540001,111000,93.755104
2015-10-15,93.459999,94.00,91.580002,93.389999,86100,92.61465
2015-10-14,95.010002,95.57,92.910004,93.00,61500,92.227889
2015-10-13,96.209999,96.629997,95.089996,95.269997,71500,94.102195
2015-10-12,95.150002,96.480003,94.900002,96.18,79000,95.001044
2015-10-09,94.199997,95.209999,94.18,94.849998,58400,93.687345
2015-10-08,92.75,94.050003,92.620003,93.989998,56700,92.837886
2015-10-07,92.309998,92.910004,91.120003,92.860001,88500,91.72174
2015-10-06,92.199997,92.540001,91.510002,91.769997,91700,90.645097
2015-10-05,90.00,92.169998,90.00,92.019997,85400,90.892033
2015-10-02,88.339996,89.860001,87.910004,89.730003,47100,88.63011
2015-10-01,89.32,89.400002,87.830002,88.849998,85900,87.760892
2015-09-30,89.690002,89.900002,89.010002,89.07,165100,87.978196
2015-09-29,88.620003,89.269997,88.110001,88.82,47600,87.731261
2015-09-28,90.419998,90.449997,88.160004,88.440002,86200,87.355921
2015-09-25,88.150002,90.559998,88.019997,90.330002,132100,89.222753
2015-09-24,87.330002,88.669998,86.860001,88.410004,80700,87.32629
2015-09-23,87.419998,87.900002,86.849998,87.650002,47800,86.575604
2015-09-22,86.68,87.290001,85.839996,87.080002,91900,86.012591
2015-09-21,86.760002,87.599998,85.779999,87.139999,31000,86.071853
2015-09-18,86.139999,87.470001,85.720001,86.050003,140300,84.995218
2015-09-17,86.620003,88.769997,86.620003,87.440002,72100,86.368179
2015-09-16,85.190002,87.300003,85.190002,86.699997,85400,85.637244
2015-09-15,84.470001,85.150002,84.389999,84.849998,35800,83.809923
2015-09-14,84.230003,84.580002,83.699997,84.169998,40000,83.138258
2015-09-11,82.910004,84.419998,82.910004,84.190002,25200,83.158017
2015-09-10,83.290001,84.18,83.010002,83.529999,35800,82.506104
2015-09-09,84.910004,84.910004,83.349998,83.489998,46500,82.466593
2015-09-08,84.900002,84.900002,83.739998,84.169998,67500,83.138258
2015-09-04,83.459999,84.349998,83.260002,83.739998,26700,82.713529
2015-09-03,83.860001,85.150002,83.860001,84.379997,77800,83.345683
2015-09-02,82.809998,84.00,82.790001,83.949997,73400,82.920953
2015-09-01,82.599998,83.580002,81.68,82.110001,63300,81.103511
2015-08-31,84.00,84.849998,83.389999,83.739998,72500,82.713529
2015-08-28,84.169998,85.120003,83.620003,84.470001,93300,83.434584
2015-08-27,84.349998,85.190002,83.110001,84.550003,96400,83.513605
2015-08-26,82.260002,84.269997,80.860001,83.989998,102400,82.960464
2015-08-25,84.57,84.57,80.879997,80.879997,83400,79.888585
2015-08-24,82.800003,84.839996,82.339996,82.339996,112500,81.330688
2015-08-21,85.93,86.989998,84.75,86.190002,79700,85.133501
2015-08-20,87.949997,88.370003,86.82,86.989998,41800,85.923691
2015-08-19,88.589996,89.120003,87.510002,88.620003,52100,87.533715
2015-08-18,89.300003,89.580002,88.800003,88.980003,56800,87.889303
2015-08-17,88.910004,89.639999,88.720001,89.309998,69200,88.215252
2015-08-14,88.220001,89.540001,88.220001,89.00,79900,87.909055
2015-08-13,88.580002,89.300003,88.18,88.580002,53300,87.494205
2015-08-12,89.00,89.290001,87.57,88.50,101100,87.415183
2015-08-11,89.199997,90.300003,89.160004,89.370003,80900,88.274522
2015-08-10,90.349998,90.93,89.110001,89.769997,119800,88.669613
2015-08-07,90.540001,91.330002,89.959999,90.00,87400,88.896797
2015-08-06,91.18,91.779999,90.459999,91.07,71700,89.953681
2015-08-05,90.660004,91.650002,90.239998,90.830002,80100,89.716625
2015-08-04,89.650002,90.900002,89.559998,90.230003,71000,89.123981
2015-08-03,89.889999,90.470001,88.57,89.660004,65800,88.560968
2015-07-31,89.50,90.989998,89.260002,89.629997,44900,88.531329
2015-07-30,88.480003,89.199997,87.059998,89.029999,65400,87.938686
2015-07-29,88.599998,89.32,88.260002,88.519997,46200,87.434935
2015-07-28,88.440002,89.330002,87.010002,88.470001,55400,87.385552
