Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,10.92,10.94,10.75,10.79,43300,10.79
2016-06-09,10.91,11.00,10.71,10.96,47600,10.96
2016-06-08,10.85,11.00,10.63,10.91,37700,10.91
2016-06-07,11.04,11.04,10.71,10.85,43300,10.85
2016-06-06,10.70,10.98,10.61,10.98,43500,10.98
2016-06-03,10.78,10.83,10.60,10.70,37600,10.70
2016-06-02,10.64,10.78,10.61,10.78,31500,10.78
2016-06-01,10.50,10.64,10.44,10.64,18200,10.64
2016-05-31,10.38,10.53,10.30,10.46,38600,10.46
2016-05-27,10.26,10.32,10.25,10.32,9000,10.32
2016-05-26,10.35,10.39,10.21,10.21,17100,10.21
2016-05-25,10.19,10.39,10.19,10.36,24100,10.36
2016-05-24,10.13,10.35,10.13,10.29,37300,10.29
2016-05-23,10.03,10.22,9.96,10.13,23100,10.13
2016-05-20,9.94,10.22,9.87,10.07,28300,10.07
2016-05-19,10.45,10.58,9.75,9.90,99400,9.90
2016-05-18,10.40,10.60,10.38,10.54,13400,10.54
2016-05-17,10.40,10.57,10.25,10.47,21600,10.47
2016-05-16,10.44,10.58,10.26,10.50,11800,10.50
2016-05-13,10.41,10.50,10.30,10.45,19600,10.45
2016-05-12,10.38,10.59,10.24,10.36,35800,10.36
2016-05-11,10.21,10.45,10.21,10.39,16900,10.39
2016-05-10,10.10,10.30,10.10,10.21,27400,10.21
2016-05-09,10.27,10.27,10.02,10.07,41700,10.07
2016-05-06,10.00,10.31,9.96,10.19,27600,10.19
2016-05-05,9.85,10.07,9.81,10.06,31500,10.06
2016-05-04,9.71,9.84,9.63,9.84,40500,9.84
2016-05-03,9.90,9.93,9.69,9.81,23700,9.81
2016-05-02,9.93,10.10,9.90,9.90,21400,9.90
2016-04-29,9.96,10.10,9.92,9.99,24500,9.99
2016-04-28,10.00,10.09,9.95,9.96,15500,9.96
2016-04-27,9.97,10.15,9.95,10.02,18600,10.02
2016-04-26,9.98,10.14,9.96,9.97,16100,9.97
2016-04-25,10.06,10.10,9.97,9.97,23300,9.97
2016-04-22,9.99,10.14,9.95,10.11,22100,10.11
2016-04-21,9.94,10.12,9.92,9.99,29900,9.99
2016-04-20,10.07,10.10,9.92,9.94,14400,9.94
2016-04-19,10.00,10.11,9.97,10.06,21800,10.06
2016-04-18,9.94,10.07,9.92,10.00,19100,10.00
2016-04-15,9.96,10.10,9.86,9.98,20500,9.98
