Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,1.55,1.57,1.53,1.535,86300,1.535
2016-06-09,1.54,1.55,1.53,1.54,28100,1.54
2016-06-08,1.55,1.568,1.54,1.54,203900,1.54
2016-06-07,1.57,1.57,1.54,1.55,101500,1.55
2016-06-06,1.54,1.56,1.53,1.54,72400,1.54
2016-06-03,1.55,1.55,1.50,1.53,75600,1.53
2016-06-02,1.52,1.56,1.51,1.54,66600,1.54
2016-06-01,1.54,1.54,1.50,1.52,43400,1.52
2016-05-31,1.52,1.522,1.50,1.51,43200,1.51
2016-05-27,1.51,1.53,1.50,1.51,38300,1.51
2016-05-26,1.52,1.52,1.49,1.52,43300,1.52
2016-05-25,1.49,1.535,1.49,1.52,89900,1.502
2016-05-24,1.50,1.52,1.50,1.50,52400,1.482237
2016-05-23,1.50,1.51,1.47,1.51,57700,1.492118
2016-05-20,1.53,1.53,1.47,1.47,50000,1.452592
2016-05-19,1.50,1.525,1.47,1.52,177900,1.502
2016-05-18,1.50,1.50,1.48,1.49,60700,1.472355
2016-05-17,1.49,1.51,1.47,1.50,110300,1.482237
2016-05-16,1.51,1.52,1.49,1.49,47800,1.472355
2016-05-13,1.50,1.53,1.42,1.50,82700,1.482237
2016-05-12,1.52,1.55,1.49,1.49,165300,1.472355
2016-05-11,1.54,1.55,1.493,1.54,182300,1.521763
2016-05-10,1.48,1.55,1.48,1.51,134100,1.492118
2016-05-09,1.53,1.56,1.48,1.48,141000,1.462474
2016-05-06,1.48,1.57,1.48,1.48,128400,1.462474
2016-05-05,1.52,1.52,1.455,1.48,136600,1.462474
2016-05-04,1.41,1.55,1.41,1.48,190300,1.462474
2016-05-03,1.51,1.60,1.49,1.55,554700,1.531645
2016-05-02,1.45,1.51,1.433,1.51,268500,1.492118
2016-04-29,1.45,1.45,1.40,1.41,112300,1.393303
2016-04-28,1.41,1.45,1.40,1.43,89400,1.413066
2016-04-27,1.44,1.44,1.40,1.427,86500,1.410101
2016-04-26,1.40,1.47,1.40,1.44,168600,1.405161
2016-04-25,1.38,1.40,1.38,1.39,107600,1.35637
2016-04-22,1.39,1.417,1.37,1.38,108700,1.346612
2016-04-21,1.41,1.41,1.36,1.37,158900,1.336854
2016-04-20,1.36,1.40,1.35,1.40,161900,1.366128
2016-04-19,1.34,1.41,1.33,1.35,169400,1.317338
2016-04-18,1.35,1.36,1.29,1.33,231700,1.297822
2016-04-15,1.33,1.393,1.325,1.33,269200,1.297822
2016-04-14,1.31,1.34,1.30,1.315,121700,1.283185
2016-04-13,1.25,1.33,1.24,1.29,360200,1.25879
2016-04-12,1.24,1.25,1.23,1.23,32200,1.200241
2016-04-11,1.20,1.26,1.20,1.24,148900,1.209999
2016-04-08,1.24,1.24,1.20,1.22,84800,1.190483
2016-04-07,1.22,1.245,1.22,1.23,69800,1.200241
2016-04-06,1.24,1.27,1.23,1.23,130500,1.200241
2016-04-05,1.24,1.24,1.21,1.23,90800,1.200241
2016-04-04,1.256,1.256,1.21,1.23,30800,1.200241
2016-04-01,1.24,1.25,1.20,1.21,78300,1.180725
2016-03-31,1.20,1.25,1.193,1.25,147400,1.219757
2016-03-30,1.19,1.20,1.15,1.20,86900,1.170967
2016-03-29,1.18,1.21,1.15,1.18,168900,1.151451
2016-03-28,1.21,1.21,1.171,1.185,150800,1.138765
2016-03-24,1.16,1.20,1.15,1.19,280600,1.143571
2016-03-23,1.21,1.21,1.15,1.15,113600,1.105131
2016-03-22,1.23,1.247,1.20,1.22,224300,1.1724
2016-03-21,1.23,1.24,1.175,1.22,260800,1.1724
2016-03-18,1.33,1.41,1.10,1.21,4577400,1.16279
2016-03-17,1.44,1.44,1.29,1.32,127400,1.268498
2016-03-16,1.45,1.54,1.35,1.44,145000,1.383816
2016-03-15,1.40,1.44,1.36,1.43,46200,1.374206
2016-03-14,1.41,1.41,1.34,1.38,59100,1.326157
2016-03-11,1.35,1.43,1.35,1.40,65800,1.345377
2016-03-10,1.35,1.35,1.31,1.35,76700,1.297328
2016-03-09,1.39,1.43,1.34,1.35,151200,1.297328
2016-03-08,1.34,1.38,1.326,1.33,115900,1.278108
2016-03-07,1.32,1.38,1.32,1.34,57900,1.287718
2016-03-04,1.23,1.32,1.23,1.31,53200,1.258888
2016-03-03,1.19,1.30,1.19,1.22,93500,1.1724
2016-03-02,1.19,1.24,1.18,1.18,44600,1.133961
2016-03-01,1.20,1.23,1.18,1.18,51500,1.133961
2016-02-29,1.20,1.21,1.18,1.19,59300,1.143571
2016-02-26,1.15,1.23,1.15,1.19,40000,1.143571
2016-02-25,1.15,1.19,1.10,1.14,66500,1.095521
2016-02-24,1.24,1.25,1.12,1.19,96400,1.126273
2016-02-23,1.16,1.24,1.145,1.20,850500,1.135737
2016-02-22,1.12,1.17,1.10,1.15,123900,1.088415
2016-02-19,1.18,1.21,1.14,1.14,153500,1.07895
2016-02-18,1.24,1.24,1.18,1.18,141600,1.116808
2016-02-17,1.21,1.27,1.18,1.23,228900,1.164131
2016-02-16,1.20,1.20,1.14,1.17,553400,1.107344
2016-02-12,1.21,1.254,1.19,1.20,51500,1.135737
2016-02-11,1.20,1.21,1.19,1.20,49000,1.135737
2016-02-10,1.29,1.33,1.23,1.23,41800,1.164131
2016-02-09,1.36,1.378,1.20,1.25,114000,1.18306
2016-02-08,1.39,1.414,1.35,1.36,62200,1.287169
2016-02-05,1.46,1.47,1.39,1.39,31600,1.315562
2016-02-04,1.48,1.485,1.44,1.45,18200,1.372349
2016-02-03,1.51,1.60,1.40,1.48,318400,1.400743
2016-02-02,1.51,1.56,1.48,1.52,26200,1.4386
2016-02-01,1.47,1.50,1.469,1.50,24900,1.419672
2016-01-29,1.45,1.51,1.38,1.46,24100,1.381814
2016-01-28,1.463,1.48,1.42,1.435,75700,1.358152
2016-01-27,1.52,1.52,1.46,1.495,46200,1.414939
2016-01-26,1.50,1.53,1.41,1.51,63800,1.4121
2016-01-25,1.46,1.49,1.44,1.47,101100,1.374693
2016-01-22,1.47,1.49,1.41,1.42,50800,1.327935
2016-01-21,1.44,1.49,1.40,1.46,119800,1.365342
2016-01-20,1.46,1.515,1.33,1.45,174200,1.35599
2016-01-19,1.51,1.53,1.45,1.48,115500,1.384045
2016-01-15,1.52,1.58,1.45,1.53,105300,1.430803
2016-01-14,1.50,1.556,1.50,1.51,59000,1.4121
2016-01-13,1.78,1.878,1.44,1.52,218400,1.421452
2016-01-12,1.78,1.78,1.65,1.74,52500,1.627188
2016-01-11,1.78,1.78,1.67,1.72,35400,1.608485
2016-01-08,1.83,1.83,1.68,1.82,37100,1.702001
2016-01-07,1.84,1.84,1.80,1.80,2089700,1.683298
2016-01-06,1.854,1.87,1.82,1.87,9500,1.74876
2016-01-05,1.89,1.912,1.82,1.823,24700,1.704807
2016-01-04,1.93,1.93,1.87,1.87,9400,1.74876
2015-12-31,1.87,1.93,1.87,1.93,51100,1.804869
2015-12-30,1.85,1.91,1.84,1.90,39700,1.776814
2015-12-29,1.85,1.89,1.81,1.89,29500,1.767463
2015-12-28,1.85,1.87,1.805,1.85,31300,1.713223
2015-12-24,1.75,1.81,1.75,1.81,18900,1.67618
2015-12-23,1.70,1.80,1.70,1.80,32600,1.66692
2015-12-22,1.72,1.75,1.67,1.72,43000,1.592835
2015-12-21,1.80,1.80,1.69,1.75,56600,1.620617
2015-12-18,1.78,1.90,1.73,1.80,88600,1.66692
2015-12-17,1.70,1.88,1.67,1.715,39000,1.588204
2015-12-16,1.67,1.819,1.67,1.71,22400,1.583574
2015-12-15,1.70,1.74,1.60,1.715,152300,1.588204
2015-12-14,1.76,1.767,1.65,1.67,54200,1.546531
2015-12-11,1.80,1.82,1.75,1.75,28600,1.620617
2015-12-10,1.83,1.83,1.75,1.80,47000,1.66692
2015-12-09,1.72,1.80,1.72,1.79,25600,1.657659
2015-12-08,1.84,1.85,1.71,1.77,138400,1.639138
2015-12-07,1.93,1.97,1.84,1.84,95800,1.703963
2015-12-04,1.85,1.91,1.83,1.872,112200,1.733597
2015-12-03,1.86,1.89,1.83,1.85,113200,1.713223
2015-12-02,1.86,1.95,1.79,1.87,89700,1.731745
2015-12-01,1.86,1.86,1.82,1.83,5600,1.694702
2015-11-30,1.89,1.90,1.828,1.86,34900,1.722484
2015-11-27,1.86,1.86,1.86,1.86,300,1.722484
2015-11-25,1.85,1.86,1.82,1.83,29000,1.694702
2015-11-24,1.87,1.87,1.81,1.85,30200,1.696554
2015-11-23,1.805,1.89,1.805,1.89,21500,1.733236
2015-11-20,1.88,1.88,1.81,1.81,6400,1.659872
2015-11-19,1.80,1.87,1.752,1.87,11500,1.714895
