Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,22.129999,22.129999,22.129999,22.129999,000,22.129999
2016-06-09,21.059999,22.129999,20.799999,22.129999,2700,22.129999
2016-06-08,20.799999,20.799999,20.799999,20.799999,100,20.799999
2016-06-07,20.724001,20.799999,20.700001,20.75,9000,20.75
2016-06-06,20.790001,20.799999,20.60,20.790001,2700,20.790001
2016-06-03,20.788,20.788,20.559999,20.68,900,20.68
2016-06-02,20.60,20.620001,20.549999,20.598,11500,20.598
2016-06-01,20.773001,20.773001,20.635,20.635,800,20.635
2016-05-31,20.739,20.739,20.739,20.739,500,20.739
2016-05-27,20.790001,20.799999,20.549,20.799999,3900,20.799999
2016-05-26,20.780001,20.780001,20.780001,20.780001,100,20.780001
2016-05-25,20.662001,20.695,20.662001,20.695,800,20.695
2016-05-24,20.40,20.40,20.35,20.40,1500,20.40
2016-05-23,20.379999,20.780001,20.280001,20.379999,1900,20.379999
2016-05-20,20.789,20.789,20.76,20.76,300,20.76
2016-05-19,20.639999,20.639999,20.25,20.43,2800,20.43
2016-05-18,20.90,21.52,20.559999,20.799999,1900,20.799999
2016-05-17,20.77,20.799999,20.77,20.799999,2000,20.799999
2016-05-16,20.297001,21.111,20.297001,20.799999,1100,20.799999
2016-05-13,21.200001,21.200001,20.25,20.25,4500,20.25
2016-05-12,21.17,21.17,21.17,21.17,200,21.17
2016-05-11,20.360001,20.360001,20.360001,20.360001,000,20.360001
2016-05-10,20.09,20.625,20.09,20.360001,1600,20.360001
2016-05-09,20.589001,20.589001,20.299999,20.299999,1600,20.299999
2016-05-06,20.355,20.355,20.355,20.355,200,20.355
2016-05-05,20.319,20.844,20.319,20.844,800,20.844
2016-05-04,20.799999,21.034,20.799999,20.799999,3200,20.799999
2016-05-03,20.67,20.844999,20.50,20.763,2400,20.763
2016-05-02,20.540001,20.540001,20.41,20.50,2800,20.50
2016-04-29,20.49,21.41,20.247999,20.360001,3500,20.360001
2016-04-28,20.90,20.90,20.60,20.60,2000,20.60
2016-04-27,20.43,20.60,20.43,20.60,500,20.60
2016-04-26,20.99,20.99,20.17,20.483,1000,20.483
2016-04-25,20.966999,20.966999,20.966999,20.966999,300,20.966999
2016-04-22,20.09,20.620001,20.09,20.620001,4100,20.620001
