Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,11.13,11.21,11.06,11.11,430200,11.11
2016-06-09,11.31,11.38,11.10,11.30,508100,11.30
2016-06-08,11.30,11.47,11.30,11.40,414600,11.40
2016-06-07,11.38,11.44,11.28,11.33,288700,11.33
2016-06-06,11.25,11.52,11.19,11.41,392300,11.41
2016-06-03,11.36,11.36,10.96,11.26,643700,11.26
2016-06-02,11.44,11.50,11.30,11.47,372200,11.47
2016-06-01,11.35,11.52,11.28,11.50,226500,11.50
2016-05-31,11.50,11.58,11.36,11.43,372900,11.43
2016-05-27,11.36,11.43,11.31,11.43,279600,11.43
2016-05-26,11.47,11.48,11.28,11.34,178000,11.34
2016-05-25,11.26,11.53,11.24,11.49,387700,11.49
2016-05-24,11.01,11.25,10.98,11.24,693500,11.24
2016-05-23,11.01,11.02,10.77,10.93,435100,10.93
2016-05-20,10.85,11.04,10.70,11.03,349000,11.03
2016-05-19,10.87,11.06,10.63,10.77,402000,10.77
2016-05-18,10.56,11.01,10.56,10.91,685200,10.91
2016-05-17,10.54,10.92,10.51,10.62,644000,10.62
2016-05-16,10.30,10.63,10.22,10.56,210800,10.56
2016-05-13,10.31,10.46,10.09,10.33,237600,10.33
2016-05-12,10.44,10.56,10.23,10.35,322300,10.35
2016-05-11,10.51,10.65,10.38,10.38,192000,10.38
2016-05-10,10.40,10.63,10.31,10.56,186400,10.56
2016-05-09,10.40,10.49,10.27,10.37,178900,10.37
2016-05-06,10.34,10.45,10.26,10.42,249900,10.42
2016-05-05,10.51,10.54,10.39,10.39,216600,10.39
2016-05-04,10.56,10.64,10.31,10.49,282700,10.49
2016-05-03,10.73,10.73,10.53,10.61,176000,10.61
2016-05-02,10.85,10.95,10.71,10.87,175900,10.87
2016-04-29,10.88,10.92,10.62,10.77,338200,10.77
2016-04-28,10.96,11.03,10.85,10.88,212500,10.88
2016-04-27,11.05,11.15,10.90,11.02,285000,11.02
2016-04-26,11.04,11.17,10.99,11.10,268200,11.10
2016-04-25,11.01,11.04,10.93,11.01,235300,11.01
2016-04-22,11.10,11.18,10.99,11.06,382600,11.06
2016-04-21,11.15,11.25,11.06,11.14,286800,11.14
2016-04-20,10.95,11.20,10.89,11.14,615000,11.14
2016-04-19,10.68,11.13,10.62,10.93,619600,10.93
2016-04-18,10.67,11.02,10.67,10.98,216100,10.98
2016-04-15,10.84,10.90,10.75,10.77,246500,10.77
2016-04-14,10.69,11.02,10.62,10.88,245300,10.88
2016-04-13,10.38,10.73,10.36,10.72,1144300,10.72
2016-04-12,10.19,10.43,10.19,10.30,465800,10.30
2016-04-11,10.17,10.38,10.14,10.19,251100,10.19
2016-04-08,10.02,10.23,10.01,10.14,198400,10.14
2016-04-07,10.15,10.15,9.87,9.96,513400,9.96
2016-04-06,10.15,10.25,10.04,10.24,225900,10.24
2016-04-05,10.24,10.30,10.13,10.15,322500,10.15
2016-04-04,10.24,10.36,10.16,10.33,528100,10.33
2016-04-01,10.20,10.31,10.16,10.28,201300,10.28
2016-03-31,10.26,10.35,10.22,10.30,704300,10.30
2016-03-30,10.25,10.42,10.20,10.31,551900,10.31
2016-03-29,10.01,10.21,9.81,10.21,321000,10.21
2016-03-28,10.24,10.24,10.05,10.06,188000,10.00
2016-03-24,10.30,10.30,10.07,10.22,161700,10.159046
2016-03-23,10.44,10.59,10.31,10.35,215300,10.288271
2016-03-22,10.39,10.52,10.29,10.46,137900,10.397614
2016-03-21,10.50,10.59,10.33,10.46,159200,10.397614
2016-03-18,10.43,10.58,10.34,10.50,968700,10.437376
2016-03-17,9.93,10.41,9.77,10.35,587200,10.288271
2016-03-16,10.14,10.31,9.91,9.97,285700,9.910537
2016-03-15,10.36,10.46,10.14,10.20,217800,10.139165
2016-03-14,10.45,10.48,10.32,10.41,142800,10.347912
2016-03-11,10.41,10.51,10.36,10.51,282700,10.447316
2016-03-10,10.41,10.49,10.16,10.31,143100,10.248509
2016-03-09,10.40,10.55,10.30,10.36,187600,10.29821
2016-03-08,10.41,10.50,10.35,10.36,220400,10.29821
2016-03-07,10.33,10.57,10.31,10.51,240700,10.447316
2016-03-04,10.27,10.41,10.18,10.41,268300,10.347912
2016-03-03,10.17,10.32,10.13,10.23,210300,10.168986
2016-03-02,10.02,10.21,9.90,10.21,310200,10.149105
2016-03-01,9.92,10.18,9.85,10.05,265400,9.99006
2016-02-29,10.04,10.11,9.82,9.84,343000,9.781312
2016-02-26,10.08,10.18,10.01,10.08,411600,10.019881
2016-02-25,9.80,10.02,9.75,9.99,257100,9.930417
2016-02-24,9.57,9.83,9.40,9.82,351400,9.761431
2016-02-23,9.81,9.84,9.57,9.70,378900,9.642147
2016-02-22,9.80,9.92,9.68,9.83,561200,9.771372
2016-02-19,9.63,9.90,9.60,9.70,219500,9.642147
2016-02-18,9.90,9.90,9.57,9.65,302900,9.592445
2016-02-17,10.09,10.12,9.81,9.87,437000,9.811133
2016-02-16,9.94,10.06,9.78,10.02,496400,9.960239
2016-02-12,9.75,9.88,9.68,9.80,710400,9.741551
2016-02-11,9.80,9.88,9.48,9.56,694600,9.502982
2016-02-10,10.13,10.35,9.97,9.98,356100,9.920477
2016-02-09,9.92,10.16,9.86,10.07,242600,10.00994
