Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,8.62,8.68,8.45,8.54,1133000,8.54
2016-06-09,8.62,8.78,8.56,8.70,823800,8.70
2016-06-08,8.69,8.77,8.58,8.64,1223800,8.64
2016-06-07,8.46,8.69,8.42,8.67,1075200,8.67
2016-06-06,8.65,8.72,8.39,8.50,1315500,8.50
2016-06-03,8.41,8.66,8.38,8.64,1611300,8.64
2016-06-02,8.21,8.46,8.18,8.44,1372800,8.44
2016-06-01,8.38,8.44,8.07,8.25,2714900,8.25
2016-05-31,8.40,8.55,8.27,8.39,2802600,8.39
2016-05-27,8.13,8.41,8.12,8.41,1609100,8.41
2016-05-26,7.89,8.19,7.83,8.13,1330700,8.13
2016-05-25,7.72,8.08,7.69,7.86,1366000,7.86
2016-05-24,7.89,7.95,7.66,7.72,1613000,7.72
2016-05-23,7.62,8.00,7.62,7.91,1506600,7.91
2016-05-20,7.47,8.06,7.46,7.99,2928100,7.99
2016-05-19,7.68,7.68,7.36,7.43,1489400,7.43
2016-05-18,7.88,7.90,7.48,7.56,1578500,7.56
2016-05-17,8.39,8.49,7.83,7.86,2554100,7.86
2016-05-16,8.50,8.72,8.31,8.41,2123800,8.41
2016-05-13,8.78,8.86,8.54,8.55,1412100,8.55
2016-05-12,8.99,9.02,8.75,8.78,1571400,8.78
2016-05-11,8.94,9.05,8.91,8.93,1988700,8.93
2016-05-10,8.84,9.06,8.84,8.97,1613100,8.97
2016-05-09,9.06,9.08,8.80,8.86,2400700,8.86
2016-05-06,8.93,9.15,8.57,9.10,2673000,9.10
2016-05-05,8.52,9.15,8.49,9.05,4182200,9.05
2016-05-04,8.66,9.47,8.56,9.31,4388600,9.31
2016-05-03,8.69,8.77,8.45,8.69,3169300,8.69
2016-05-02,8.70,8.79,8.37,8.73,2688900,8.73
2016-04-29,8.72,8.88,8.54,8.68,1239800,8.68
2016-04-28,8.93,8.98,8.72,8.78,1497500,8.78
2016-04-27,8.69,8.95,8.60,8.94,1006700,8.94
2016-04-26,8.71,8.81,8.63,8.72,918000,8.72
2016-04-25,8.73,8.85,8.57,8.66,1205100,8.66
2016-04-22,8.48,8.74,8.46,8.73,1258200,8.73
2016-04-21,8.60,8.69,8.42,8.55,1440400,8.55
2016-04-20,8.76,8.81,8.44,8.63,1785500,8.63
2016-04-19,8.76,8.93,8.62,8.81,2128900,8.81
2016-04-18,8.51,8.76,8.29,8.69,2157700,8.69
2016-04-15,8.40,8.62,8.25,8.58,2295800,8.58
2016-04-14,8.19,8.53,8.11,8.42,2353400,8.42
2016-04-13,8.07,8.20,7.88,8.19,1319300,8.19
2016-04-12,7.75,8.17,7.75,8.07,2344300,8.07
2016-04-11,7.78,8.14,7.77,7.77,1898300,7.77
2016-04-08,7.88,7.97,7.79,7.87,1243900,7.87
2016-04-07,7.77,7.91,7.75,7.84,1025700,7.84
2016-04-06,7.69,7.85,7.58,7.84,1507000,7.84
2016-04-05,7.65,7.78,7.51,7.67,1621100,7.67
2016-04-04,7.70,7.85,7.45,7.72,1817900,7.72
2016-04-01,7.53,7.64,7.18,7.58,2063900,7.58
2016-03-31,7.51,7.68,7.29,7.68,2635800,7.68
2016-03-30,7.59,7.74,7.45,7.56,1409600,7.56
2016-03-29,7.13,7.65,7.04,7.63,1861500,7.63
2016-03-28,7.55,7.58,7.18,7.25,2275300,7.10
2016-03-24,7.25,7.50,7.13,7.50,2163600,7.344828
2016-03-23,7.49,7.53,7.27,7.30,1321100,7.148966
2016-03-22,7.47,7.56,7.32,7.53,1306500,7.374207
