Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,28.76,28.76,28.08,28.65,35900,28.65
2016-06-09,29.00,29.00,28.50,28.959999,10600,28.959999
2016-06-08,28.700001,29.139999,28.700001,29.049999,19800,29.049999
2016-06-07,28.261,28.745001,28.261,28.74,16100,28.74
2016-06-06,28.799999,28.879999,28.700001,28.700001,15300,28.700001
2016-06-03,28.290001,29.209999,28.27,28.959999,18100,28.959999
2016-06-02,28.117001,28.290001,27.879999,28.290001,6200,28.290001
2016-06-01,28.190001,28.299999,27.628,28.030001,42900,28.030001
2016-05-31,28.26,28.299999,27.719999,28.299999,7700,28.299999
2016-05-27,28.129999,28.24,28.08,28.08,4700,28.08
2016-05-26,28.07,28.267,27.969999,28.145,6400,28.145
2016-05-25,28.50,28.50,27.940001,28.07,21000,28.07
2016-05-24,28.549999,28.629999,28.16,28.48,14100,28.48
2016-05-23,28.34,28.75,28.125999,28.66,10600,28.66
2016-05-20,27.73,28.360001,27.391001,28.26,12700,28.26
2016-05-19,27.32,27.882,27.110001,27.66,10600,27.66
2016-05-18,27.959999,27.99,27.15,27.290001,9700,27.290001
2016-05-17,27.790001,27.99,27.40,27.959999,7700,27.959999
2016-05-16,27.809999,27.99,27.60,27.746,6300,27.746
2016-05-13,27.60,27.85,27.129999,27.82,14100,27.82
2016-05-12,27.398001,27.76,27.398001,27.677,6100,27.677
2016-05-11,27.530001,27.790001,27.249001,27.790001,34300,27.790001
2016-05-10,27.92,27.92,27.17,27.77,29600,27.77
2016-05-09,27.370001,27.99,27.110001,27.77,5100,27.77
2016-05-06,27.58,27.969999,27.575001,27.575001,15700,27.575001
2016-05-05,27.85,27.85,27.540001,27.60,5400,27.60
2016-05-04,27.719999,27.85,27.60,27.84,6400,27.84
2016-05-03,27.709999,27.82,27.66,27.799999,8100,27.799999
2016-05-02,27.620001,27.85,27.469999,27.83,12900,27.83
2016-04-29,27.65,27.74,27.02,27.40,13000,27.40
2016-04-28,27.620001,27.68,27.26,27.67,22100,27.67
2016-04-27,27.450001,27.85,27.438999,27.85,13300,27.85
2016-04-26,27.51,27.51,27.059999,27.465,8400,27.465
2016-04-25,27.530001,27.723,27.40,27.52,6200,27.52
2016-04-22,27.32,27.723,27.32,27.60,8900,27.60
2016-04-21,27.059999,27.389999,27.00,27.120001,14000,27.120001
2016-04-20,27.42,27.496,27.00,27.35,19900,27.35
2016-04-19,27.43,27.549999,27.01,27.219999,15000,27.219999
2016-04-18,27.57,27.735001,27.00,27.50,16800,27.50
2016-04-15,27.48,27.60,27.094,27.60,9300,27.60
2016-04-14,27.35,27.379999,26.90,27.290001,9100,27.290001
2016-04-13,27.49,27.49,27.25,27.290001,15900,27.290001
2016-04-12,27.09,27.396,27.09,27.360001,7500,27.360001
2016-04-11,26.860001,27.351,26.75,27.07,4100,27.07
2016-04-08,26.879999,27.282,26.66,26.700001,11200,26.700001
2016-04-07,27.049999,27.289,26.66,26.709999,8700,26.709999
2016-04-06,27.059999,27.299999,26.75,27.09,10400,27.09
2016-04-05,26.16,27.108,26.16,27.08,5700,27.08
2016-04-04,27.190001,27.35,26.83,27.190001,4800,27.190001
2016-04-01,27.278999,27.40,26.497,27.16,7600,27.16
2016-03-31,27.299999,27.450001,26.527,27.195,5400,27.195
2016-03-30,27.209999,27.486,26.302,27.299999,7900,27.299999
2016-03-29,27.50,27.50,26.723,27.40,15400,26.99
2016-03-28,27.496,27.50,26.66,27.49,11800,27.078653
2016-03-24,27.50,27.50,27.094999,27.49,10000,27.078653
2016-03-23,27.285999,27.622,27.219999,27.40,7900,26.99
2016-03-22,27.48,27.83,27.25,27.790001,8500,27.374165
2016-03-21,27.50,27.50,27.049999,27.222,8000,26.814664
2016-03-18,27.23,27.813999,27.121,27.379999,13800,26.970298
2016-03-17,27.200001,27.436001,27.02,27.02,11900,26.615686
2016-03-16,27.08,27.200001,26.768,27.16,5000,26.753591
2016-03-15,26.82,27.08,26.799999,27.00,6800,26.595985
2016-03-14,27.120001,27.120001,26.75,27.00,11600,26.595985
2016-03-11,27.08,27.200001,27.007999,27.120001,15800,26.71419
2016-03-10,27.195999,27.195999,26.549999,26.92,4300,26.517182
2016-03-09,26.620001,26.959999,26.60,26.85,8200,26.44823
2016-03-08,26.91,26.950001,26.424999,26.940001,6700,26.536884
2016-03-07,26.223,27.110001,26.110001,26.610001,4100,26.211822
2016-03-04,26.92,27.195999,26.85,27.16,4100,26.753591
2016-03-03,26.209999,27.186001,26.209999,26.99,6800,26.586135
2016-03-02,26.577999,27.00,26.50,26.856001,9000,26.454141
2016-03-01,26.893999,27.49,26.652,27.450001,11100,27.039252
2016-02-29,26.99,27.10,26.50,26.950001,20700,26.546734
2016-02-26,26.712,26.952999,26.054001,26.889999,9400,26.487631
2016-02-25,26.09,26.969999,26.08,26.969999,11200,26.566434
2016-02-24,26.65,26.65,26.075001,26.389999,5100,25.995112
2016-02-23,26.35,26.639999,26.35,26.57,7200,26.172419
2016-02-22,26.086,26.65,26.086,26.59,2900,26.19212
2016-02-19,25.968,26.50,25.874001,26.50,12000,26.103467
2016-02-18,26.280001,26.65,26.065001,26.290001,10200,25.89661
2016-02-17,26.280001,26.60,25.959999,26.59,13300,26.19212
2016-02-16,25.799999,25.93,25.620001,25.73,9200,25.344988
2016-02-12,25.353001,25.50,25.25,25.492001,7700,25.110551
2016-02-11,25.809999,26.00,24.860001,25.09,16100,24.714566
2016-02-10,25.799999,26.190001,25.799999,25.90,5700,25.512445
2016-02-09,25.549999,25.950001,25.459999,25.799999,9100,25.413941
2016-02-08,26.450001,26.469999,25.26,25.98,11700,25.591248
2016-02-05,26.749001,26.898001,26.450001,26.450001,7100,26.054216
2016-02-04,26.959999,26.99,26.67,26.790001,16000,26.389129
2016-02-03,26.60,26.940001,26.60,26.92,11000,26.517182
2016-02-02,26.806,26.950001,26.709999,26.90,11400,26.497481
2016-02-01,26.700001,27.15,26.50,26.879999,13800,26.47778
2016-01-29,26.690001,26.700001,26.348,26.700001,6700,26.300475
2016-01-28,25.99,26.50,25.950001,26.50,82900,26.103467
