Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,2.04,2.04,1.90,1.92,2300,1.92
2016-06-09,1.93,1.95,1.90,1.95,3000,1.95
2016-06-08,1.94,2.01,1.87,1.94,14400,1.94
2016-06-07,2.10,2.10,1.84,1.87,7300,1.87
2016-06-06,1.85,2.05,1.85,1.95,15700,1.95
2016-06-03,2.08,2.14,1.84,1.99,20100,1.99
2016-06-02,1.95,2.04,1.89,1.98,12200,1.98
2016-06-01,1.76,2.13,1.62,1.80,14600,1.80
2016-05-31,1.84,1.85,1.65,1.77,9600,1.77
2016-05-27,1.61,1.90,1.61,1.82,19700,1.82
2016-05-26,1.70,1.85,1.58,1.61,5200,1.61
2016-05-25,1.72,1.85,1.72,1.77,2100,1.77
2016-05-24,1.70,1.86,1.70,1.83,8000,1.83
2016-05-23,1.84,1.92,1.84,1.87,2200,1.87
2016-05-20,2.10,2.10,1.94,2.00,3900,2.00
2016-05-19,1.85,2.10,1.79,1.93,3600,1.93
2016-05-18,2.10,2.10,1.97,1.99,2300,1.99
2016-05-17,2.00,2.10,1.83,1.84,13600,1.84
2016-05-16,1.95,2.33,1.92,1.99,70700,1.99
2016-05-13,2.55,2.55,1.89,2.00,67900,2.00
2016-05-12,2.88,2.88,2.49,2.49,1500,2.49
2016-05-11,2.63,2.90,2.63,2.64,1300,2.64
2016-05-10,2.99,2.99,2.99,2.99,400,2.99
2016-05-09,2.50,2.92,2.50,2.92,800,2.92
2016-05-06,2.98,2.98,2.83,2.83,1200,2.83
2016-05-05,2.75,3.00,2.75,2.88,700,2.88
2016-05-04,2.83,3.00,2.83,2.90,30900,2.90
2016-05-03,3.04,3.04,2.68,2.70,7100,2.70
2016-05-02,2.67,2.79,2.67,2.79,900,2.79
2016-04-29,2.74,2.74,2.74,2.74,500,2.74
2016-04-28,2.92,3.03,2.91,2.91,2500,2.91
2016-04-27,3.10,3.10,2.87,2.91,7300,2.91
2016-04-26,3.11,3.14,3.05,3.10,7500,3.10
2016-04-25,3.45,3.45,3.08,3.08,17200,3.08
2016-04-22,3.30,3.30,3.11,3.12,3300,3.12
2016-04-21,3.29,3.29,3.20,3.22,4900,3.22
2016-04-20,3.37,3.39,3.18,3.27,4300,3.27
